frock,Year,Aftercore Tier,Good derivatives?,IOTY?,Con Item?,Account Bound?,
grey gosling,2022,-1,,,,1,"Imagine the Robort but as a fairy. Doubles the number of item drops you get, but reliant on market knowledge. GOOSO IS LIT."
unpowered Robortender,2017,-1,,,,1,"Tied for best familiar in the game. Double leprechaun, drops candy, heap items, etc, generates Fites so it's also batshit for PvP."
book of facts,2023,0,,,,1,"15-18 frontloaded copies, passive drops, 11 RO advs, 3 pocket wishes a day, enables some farming shitposts with BofA drops"
cursed monkey glove,2023,0,,,,1,"Grants any 5 wishable effects for 30 turns, giving +225-300k meat from embezzlers or 20-25 adventures from salty mouth"
packaged backup camera,2021,0,,,,1,"11 monster copies per day; high meat, ML, or init bonus"
mint-in-box Powerful Glove,2020,0,,,,1,10 Macrometeors = 10 embezzlers a day with Extro
Kramco Industries packing carton,2019,0,,,,1,"Free fight goblins, +23 free turngen a day"
packaged Pocket Professor,2019,0,,,,1,"20? monster copies per day, +11 turngen a day"
Pocket Meteor Guide,2017,0,,,,1,10 Macrometeors = 10 embezzlers a day with Extro
li'l orphan tot,2016,0,,,,1,"Double halloween value. Extremely powerful, but only relevant ~4 days a year (plus Jill Maps)"
Source terminal,2016,0,,,,1,"20+ monster copies per day, 300 turns of +60% meat or +30% items"
fairy-worn boots,2011,0,,,,1,"Same function as Bandersnatch but it attacks so it might kill stuff when you don't want that to happen, generates spleen items"
Apathargic Bandersnatch,2009,0,,,,1,"50+ free runaways with Ode, charges stinky cheese, pantsgiving, sweatpants"
legendary seal-clubbing club,2026,1,,,,1,"5 free kills, 5 enamorangs, 5 pickpockets a day"
blood cubic zirconia,2025,1,,,,1,"12 or more free kills per day, plus 12 weird-nosts for item farmers. also has a meat buff"
skeleton of crimbo past,2025,1,,,,1,trade up to 30 days worth of knucklebones for a rethinking candy!
cooler yeti,2025,1,,,,,worth 30-40 turngen a day if you can charge it up
chest mimic,2024,1,,,,1,11 more copies a day if you can stack 500 fxp
Roman Candelabra,2024,1,,,,,I think this is worth 15 embezzlers?
cincho de mayo,2023,1,,,,1,"Worth about 7 NC forces for yachtzee, better than parka and will only ever get better"
closed-circuit pay phone,2023,1,,,,1,"11+ free fights, 60k daily flag, 30-turn buff for 200% meat, 100% item, 100% init, and -10% combat that you can get arbitrary duration for"
packaged model train set,2022,1,,,,1,lots of mp and effective +250 meat every fight
cold medicine cabinet,2021,1,Yes,,,1,"5 x (3 monster copies per day) or (5 free outdoor combats) at cost of spleen, don't need to own to benefit"
SongBoom&trade; BoomBox Box,2018,1,Yes,,,1,"Generates special seasoning for +1 adv per food, or increases base meat drop with Total Eclipse of Your Meat"
LI-11 Motor Pool voucher,2017,1,,,,1,"Infinite banish, infinite meat buff"
airplane charter: Dinseylandfill,2015,1,Yes,,,1,GARBO
Apriling band helmet,2024,2,,,,1,3 clovers and 3 sneaks per day
mini kiwi,2024,2,Yes,,,,"aioli is boneless milk of magnesium, possibly best crotchbjorn fam"
patriotic eagle,2023,2,,,,1, 
combat lover's locket lockbox,2022,2,,,,1,3 unique faxes per day; encountered monsters saved forever (all can be pulled in standard!)
designer sweatpants,2022,2,,,,1,3 more liver per day / free MP restore / +fites spleen item; charges on *every* combat
jurassic parka,2022,2,,,,1,Spikos are 5 free noncom forces for yachtzee/etc
undrilled cosmic bowling ball,2022,2,,,,1,"Skills are unlimited but increasing shared cooldown: banish, big meat/item buff, +50% stat gain; or use for 100 damage 1/combat"
emotion chip,2021,2,,,,1,"Swiss army knife of helpful skills (3x each) - banish, copy last drop table, non-lethal YR, -combat, +xp, +survivability, weird teleportitis with +item"
packaged miniature crystal ball,2021,2,,,,1,Adds 1 copy per CMC extrov
baby camelCalf,2020,2,,,,1,"Charge spit for 23 combats, pair with Nostalgia and GOOSO for profit"
red-spotted snapper roe,2019,2,,,,1,"Fight 11 phylum monsters for spleen drops, dude/hobo normally; humanoid/weird/pirate are not terrible; hobo cologne gives +++meat drop (40k in mall!)"
corked genie bottle,2017,2,Yes,,,1,"Generates passive income, 150k a day or on-demand effects/monsters"
space planula,2017,2,,,,1,"Jelly typically has dumb effects for world events: 10% discount, force noncombat, extra yellow rays"
Witchess Set,2016,2,Yes,,,1,5 free fights and high value drops
portable Mayo Clinic,2015,2,,,,,"Gives 1 adv per food, turns your liver into a second stomach for PvP"
container of Spooky Putty,2009,2,,,,,5 copies a day
McHugeLarge ski set,2025,3,,,,1,3 sneaks and 3 olfacts per day
mobius ring,2025,3,,,,1,"extra free fights when doing zone quests, can crank to 13 and then keep generating clocks"
Everfull dart holster,2024,3,,,,1,"1 free kill every 30 advs, matches with spring shoes"
spring shoes,2024,3,,,,1,"eh, it's probably about as good as cosmic bowling ball for aftercore"
S.I.T. Course Voucher,2023,3,,,,1,more crap after combats! has a meat drop potion!
